,WijkenEnBuurten,SoortRegio,AantalInwoners,Mannen,Vrouwen,k_0Tot15Jaar,k_15Tot25Jaar,k_25Tot45Jaar,k_45Tot65Jaar,k_65JaarOfOuder,Ongehuwd,Gehuwd,Gescheiden,Verweduwd,WestersTotaal,NietWestersTotaal,GeboorteRelatief,SterfteRelatief,HuishoudensTotaal,Eenpersoonshuishoudens,HuishoudensZonderKinderen,HuishoudensMetKinderen,GemiddeldeHuishoudensgrootte,Bevolkingsdichtheid,Woningvoorraad,GemiddeldeWoningwaarde,PercentageEengezinswoning,PercentageMeergezinswoning,PercentageBewoond,Koopwoningen,HuurwoningenTotaal,InBezitWoningcorporatie,InBezitOverigeVerhuurders,BouwjaarVoor2000,BouwjaarVanaf2000,GemiddeldElektriciteitsverbruikTotaal,Appartement,Appartement1,Tussenwoning,Tussenwoning1,Hoekwoning,Hoekwoning1,TweeOnderEenKapWoning,TweeOnderEenKapWoning1,VrijstaandeWoning,VrijstaandeWoning1,Huurwoning,Huurwoning1,GemiddeldAardgasverbruikTotaal,AantalInkomensontvangers,GemiddeldInkomenPerInkomensontvanger,GemiddeldInkomenPerInwoner,k_40PersonenMetLaagsteInkomen,k_20PersonenMetHoogsteInkomen,k_20HuishoudensMetHoogsteInkomen,HuishoudensMetEenLaagInkomen,HuishOnderOfRondSociaalMinimum,BedrijfsvestigingenTotaal,PersonenautoSTotaal,PersonenautoSJongerDan6Jaar,PersonenautoS6JaarEnOuder,PersonenautoSBrandstofBenzine,PersonenautoSOverigeBrandstof,PersonenautoSPerHuishouden,PersonenautoSNaarOppervlakte,Motorfietsen,MateVanStedelijkheid,Omgevingsadressendichtheid,attributes.TELJAAR,attributes.AANTAL,attributes.AANTAL_SUMMED,Zon_atlas
190,140609,Buurt     ,35,15,20,18.0,27.0,19.0,20.0,17.0,60.0,33.0,3.0,3.0,25.0,11.0,0.0,26.0,20,55.0,20.0,25.0,1.9,1356.0,0,458.0,69.0,31.0,95.0,94.0,5.0,0.0,5.0,64.0,36.0,4150.0,2500.0,1200.0,3800.0,1100.0,3500.0,1850.0,4450.0,1650.0,5400.0,3150.0,3950.0,2100.0,2050.0,0.0,54.9,38.2,22.3,47.9,55.3,2.3,1.9,5.0,15,0,15,10,0,0.6,735.0,0,1,3455,2014,0.0,0.0,
191,140700,Buurt     ,1250,595,655,9.0,29.0,38.0,14.0,9.0,74.0,19.0,5.0,3.0,9.0,4.0,11.0,26.0,830,65.0,24.0,11.0,1.5,2697.0,626,151.0,14.0,86.0,98.0,58.0,42.0,15.0,27.0,99.0,1.0,2300.0,2200.0,1500.0,2950.0,2200.0,3450.0,2250.0,2600.0,2450.0,5400.0,3150.0,2150.0,1500.0,1600.0,900.0,27.6,21.0,40.0,18.0,11.0,50.0,1.9,115.0,420,120,300,335,85,0.5,905.0,30,1,3063,2013,72.0,72.0,1.7
192,140700,Buurt     ,1275,615,660,9.0,31.0,36.0,15.0,10.0,75.0,17.0,5.0,3.0,9.0,4.0,13.0,5.0,860,68.0,22.0,11.0,1.5,2746.0,625,143.0,14.0,86.0,98.0,57.0,43.0,13.0,30.0,99.0,1.0,2200.0,2100.0,1150.0,2800.0,1600.0,3100.0,1750.0,2700.0,2000.0,5400.0,3150.0,1850.0,1050.0,1200.0,1100.0,24.2,21.6,48.8,16.6,7.9,11.0,7.7,120.0,420,120,300,320,100,0.5,903.0,35,1,3097,2014,229.0,301.0,1.7
193,140700,Buurt     ,4490,2085,2405,520.0,550.0,1445.0,880.0,1090.0,2625.0,1070.0,390.0,400.0,490.0,525.0,10.0,17.0,2615,1525.0,630.0,460.0,1.6,4116.0,2662,131.0,18.0,82.0,94.0,30.0,67.0,53.0,14.0,79.0,21.0,1980.0,1780.0,920.0,2820.0,1210.0,2890.0,1500.0,3310.0,1430.0,5400.0,3150.0,1840.0,940.0,980.0,3600.0,25.6,21.8,43.6,12.5,7.2,12.9,11.3,180.0,1420,340,1080,1195,220,0.5,1301.0,105,1,2713,2015,81.0,382.0,1.7
194,140700,Buurt     ,4495,2110,2380,520.0,560.0,1495.0,910.0,1005.0,2690.0,1045.0,400.0,355.0,465.0,550.0,11.0,18.0,2655,1580.0,620.0,450.0,1.6,4114.0,2708,134.0,18.0,82.0,94.0,30.0,67.0,52.0,15.0,79.0,21.0,1950.0,1750.0,1010.0,2810.0,1280.0,2830.0,1590.0,3170.0,1540.0,5400.0,3150.0,1830.0,1020.0,1070.0,3600.0,25.6,21.8,43.6,12.5,7.2,12.9,11.3,195.0,1460,355,1105,1240,220,0.5,1337.0,120,1,2743,2016,198.0,580.0,1.7
195,140701,Buurt     ,2065,1045,1015,6.0,34.0,42.0,12.0,7.0,80.0,12.0,5.0,3.0,11.0,7.0,9.0,2.0,1490,71.0,21.0,7.0,1.4,8377.0,1146,144.0,3.0,97.0,95.0,37.0,63.0,34.0,28.0,91.0,9.0,2100.0,2050.0,1650.0,4000.0,1850.0,2830.0,1590.0,3170.0,1540.0,5400.0,3150.0,2000.0,1600.0,1650.0,1600.0,24.3,19.2,48.0,12.0,6.0,62.0,12.0,125.0,585,130,455,480,110,0.4,2374.0,55,1,3348,2013,129.0,129.0,1.7142857142857142
196,140701,Buurt     ,2100,1065,1030,5.0,34.0,42.0,11.0,7.0,81.0,12.0,5.0,2.0,12.0,7.0,10.0,1.0,1525,71.0,21.0,7.0,1.4,8527.0,1146,136.0,3.0,97.0,96.0,34.0,65.0,34.0,31.0,91.0,9.0,2000.0,2000.0,1200.0,3450.0,1200.0,2830.0,1590.0,3170.0,1540.0,5400.0,3150.0,1850.0,1150.0,1200.0,1900.0,21.7,20.2,53.0,11.7,5.6,15.1,11.5,135.0,585,135,450,490,100,0.4,2378.0,60,1,3370,2014,115.0,244.0,1.7142857142857142
197,140701,Buurt     ,4480,2125,2360,575.0,440.0,1085.0,1205.0,1175.0,2255.0,1415.0,435.0,375.0,435.0,235.0,10.0,19.0,2420,1255.0,660.0,505.0,1.8,4588.0,2655,173.0,33.0,67.0,94.0,34.0,62.0,34.0,29.0,94.0,6.0,2290.0,1950.0,910.0,2810.0,1200.0,2880.0,1340.0,3710.0,1870.0,3680.0,2170.0,1980.0,960.0,1050.0,3500.0,32.1,26.9,35.2,23.4,15.4,8.5,8.0,280.0,1675,555,1125,1385,290,0.7,1716.0,105,2,1998,2015,250.0,494.0,1.7142857142857142
198,140701,Buurt     ,4480,2150,2330,570.0,420.0,1095.0,1230.0,1165.0,2285.0,1385.0,455.0,355.0,420.0,260.0,8.0,17.0,2430,1285.0,640.0,505.0,1.7,4584.0,2652,177.0,33.0,67.0,94.0,35.0,61.0,33.0,28.0,94.0,6.0,2260.0,1950.0,960.0,2800.0,1280.0,2820.0,1430.0,3610.0,1950.0,3800.0,2230.0,1970.0,1030.0,1100.0,3500.0,32.1,26.9,35.2,23.4,15.4,8.5,8.0,300.0,1690,565,1125,1390,300,0.7,1728.0,105,2,2009,2016,274.0,768.0,1.7142857142857142
199,140702,Buurt     ,4440,2045,2390,10.0,13.0,32.0,20.0,26.0,57.0,25.0,9.0,10.0,10.0,11.0,13.0,20.0,2695,59.0,25.0,15.0,1.6,5208.0,2556,142.0,19.0,81.0,96.0,31.0,69.0,51.0,18.0,80.0,20.0,2100.0,1850.0,1200.0,3000.0,1500.0,3000.0,1850.0,3400.0,1650.0,3800.0,2230.0,1950.0,1200.0,1300.0,3400.0,25.0,20.0,47.0,11.0,6.0,66.0,14.0,160.0,1435,360,1075,1190,245,0.5,1683.0,105,2,2455,2013,53.0,53.0,1.7
200,140702,Buurt     ,4600,2140,2460,11.0,12.0,33.0,19.0,25.0,58.0,24.0,8.0,9.0,11.0,11.0,12.0,24.0,2660,58.0,25.0,17.0,1.6,5399.0,2662,136.0,18.0,82.0,95.0,30.0,68.0,54.0,14.0,79.0,21.0,2000.0,1800.0,900.0,2900.0,1150.0,2850.0,1400.0,3400.0,1350.0,3800.0,2230.0,1850.0,900.0,950.0,3600.0,24.2,20.7,44.1,11.5,7.0,14.4,11.9,165.0,1435,365,1070,1205,230,0.5,1681.0,105,2,2486,2014,116.0,169.0,1.7
201,140702,Buurt     ,710,360,350,120.0,55.0,95.0,230.0,205.0,300.0,340.0,45.0,25.0,85.0,15.0,9.0,2.0,295,55.0,135.0,100.0,2.4,2136.0,296,366.0,89.0,11.0,98.0,75.0,25.0,0.0,25.0,99.0,1.0,3650.0,2310.0,1060.0,3570.0,1680.0,3580.0,1850.0,3340.0,1830.0,4080.0,2340.0,3230.0,1530.0,1970.0,600.0,45.8,35.8,25.4,39.3,48.6,3.1,3.1,60.0,375,155,215,285,85,1.3,1119.0,20,4,974,2015,125.0,294.0,1.7
202,140702,Buurt     ,715,370,345,120.0,55.0,100.0,225.0,215.0,300.0,340.0,45.0,25.0,95.0,15.0,6.0,6.0,295,55.0,135.0,100.0,2.4,2145.0,296,373.0,89.0,11.0,98.0,78.0,22.0,0.0,22.0,99.0,1.0,3580.0,2320.0,1110.0,3590.0,1800.0,3280.0,2000.0,3290.0,1930.0,3990.0,2480.0,3110.0,1500.0,2100.0,600.0,45.8,35.8,25.4,39.3,48.6,3.1,3.1,65.0,375,150,225,280,90,1.3,1119.0,20,4,981,2016,57.0,351.0,1.7
203,140703,Buurt     ,6305,3015,3290,17.0,9.0,21.0,31.0,23.0,48.0,37.0,8.0,7.0,9.0,5.0,10.0,16.0,3050,43.0,30.0,27.0,2.0,2146.0,3194,256.0,47.0,53.0,92.0,44.0,55.0,31.0,24.0,82.0,18.0,2850.0,2100.0,1100.0,3150.0,1550.0,3300.0,1750.0,4200.0,2200.0,4700.0,2750.0,2250.0,1250.0,1500.0,4500.0,38.2,27.9,32.0,30.0,27.0,35.0,9.0,475.0,2685,1045,1640,2135,550,0.9,913.0,160,3,1378,2013,0.0,0.0,2.0
204,140703,Buurt     ,6450,3085,3365,16.0,10.0,21.0,30.0,23.0,50.0,36.0,8.0,7.0,9.0,5.0,7.0,15.0,3170,44.0,30.0,27.0,2.0,2195.0,3283,236.0,46.0,54.0,95.0,46.0,51.0,28.0,23.0,83.0,17.0,2700.0,2000.0,850.0,3050.0,1200.0,3100.0,1350.0,4050.0,1700.0,4400.0,2100.0,2150.0,950.0,1150.0,4900.0,36.7,29.0,33.9,29.7,25.5,8.4,7.0,510.0,2680,995,1680,2100,580,0.8,911.0,165,3,1469,2014,0.0,0.0,2.0
205,140703,Buurt     ,15,5,10,0.0,5.0,5.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,10.0,0.0,0.0,1.2,46.0,1,236.0,46.0,54.0,95.0,46.0,51.0,28.0,23.0,83.0,17.0,2700.0,2000.0,850.0,3050.0,1200.0,3100.0,1350.0,4050.0,1700.0,4400.0,2100.0,2150.0,950.0,1150.0,0.0,36.7,29.0,33.9,29.7,25.5,8.4,7.0,65.0,40,30,10,15,25,0.8,911.0,0,3,1293,2015,0.0,0.0,2.0
